State,Rural - Percentage of Persons,Rural - No. of Persons (lakhs),Urban - Percentage of Persons,Urban - No. of Persons (lakhs),Total - Percentage of Persons,Total - No. of Persons (lakhs)
Andhra Pradesh,11.00,61.80,5.80,17.00,9.20,78.80
Arunachal Pradesh,38.90,4.20,20.30,0.70,34.70,4.90
Assam,33.90,92.10,20.50,9.20,32.00,101.30
Bihar,34.10,320.40,31.20,37.80,33.70,358.20
Chhattisgarh,44.60,88.90,24.80,15.20,39.90,104.10
Goa,6.80,0.40,4.10,0.40,5.10,0.80
Gujarat,21.50,75.40,10.10,26.90,16.60,102.20
Haryana,11.60,19.40,10.30,9.40,11.20,28.80
Himachal Pradesh,8.50,5.30,4.30,0.30,8.10,5.60
Jammu & Kashmir,11.50,10.70,7.20,2.50,10.30,13.30
Jharkhand,40.80,104.10,24.80,20.20,37.00,124.30
Karnataka,24.50,92.80,15.30,37.00,20.90,129.80
Kerala,9.10,15.50,5.00,8.50,7.10,23.90
Madhya Pradesh,35.70,191.00,21.00,43.10,31.60,234.10
Maharashtra,24.20,150.60,9.10,47.40,17.40,197.90
Manipur,38.80,7.40,32.60,2.80,36.90,10.20
Meghalaya,12.50,3.00,9.30,0.60,11.90,3.60
Mizoram,35.40,1.90,6.40,0.40,20.40,2.30
Nagaland,19.90,2.80,16.50,1.00,18.90,3.80
Odisha,35.70,126.10,17.30,12.40,32.60,138.50
Punjab,7.70,13.40,9.20,9.80,8.30,23.20
Rajasthan,16.10,84.20,10.70,18.70,14.70,102.90
Sikkim,9.90,0.40,3.70,0.10,8.20,0.50
Tamil Nadu,15.80,59.20,6.50,23.40,11.30,82.60
Tripura,16.50,4.50,7.40,0.80,14.00,5.20
Uttar Pradesh,30.40,479.40,26.10,118.80,29.40,598.20
Uttarakhand,11.60,8.20,10.50,3.40,11.30,11.60
West Bengal,22.50,141.10,14.70,43.80,20.00,185.00
A & N Islands,1.60,0.04,0.00,0.00,1.00,0.04
Chandigarh,1.60,0.00,22.30,2.30,21.80,2.30
D & N Haveli,62.60,1.20,15.40,0.30,39.30,1.40
Daman & Diu,0.00,0.00,12.60,0.30,9.90,0.30
Delhi,12.90,0.50,9.80,16.50,9.90,17.00
Lakshadweep,0.00,0.00,3.40,0.02,2.80,0.02
INDIA,25.70,2166.60,13.70,531.20,21.90,2697.80
